gold_diff,kill_diff,my_team_win
-2213,-6,False
1447,3,False
-201,1,True
1363,0,False
-5,-3,True
-963,-2,True
4337,8,False
-557,-2,False
-2480,-8,False
-1234,-3,False
1259,2,False
-2974,-6,True
650,2,True
1416,0,True
354,-1,True
-2108,-6,True
535,0,False
-2110,-4,False
-885,-5,False
2442,2,True
1115,0,True
-338,-2,True
-571,-2,True
-347,-2,True
2654,3,True
960,0,False
-3073,-5,False
215,-1,False
-702,-2,False
4808,9,True
1701,4,False
-3645,-9,False
4642,4,True
-2265,-5,False
-65,-3,False
-3187,-6,False
952,1,True
598,1,True
-449,-2,False
1158,-2,True
-1321,-3,False
-1605,-4,False
96,0,True
1133,2,True
2877,4,True
3182,4,True
-1553,-1,False
1020,1,True
1301,1,False
-2786,-4,True
1196,-2,True
-131,0,False
-4272,-10,False
1069,6,False
-2646,-7,False
-170,-1,True
1933,6,True
-891,0,True
-666,0,False
12,3,False
1970,6,False
757,0,False
1867,3,False
574,3,True
426,1,True
-1168,-3,False
-2886,-5,False
557,3,False
-1671,-1,False
6,0,True
-589,-1,True
294,1,True
1596,4,True
-1116,-3,True
1141,3,False
387,2,True
-39,0,False
-1129,-1,True
-991,-4,True
-1960,-5,True
-1220,-3,False
-1677,-1,False
792,4,True
-1037,-3,True
761,1,True
1231,3,True
-1881,-4,False
-144,-1,False
1441,3,True
1374,4,True
1487,3,True
-116,1,False
-1653,-5,False
-1862,-5,True
346,1,True
-1652,-3,True
-4066,-8,True
-324,-1,False
1269,5,True
-591,1,False
11,1,True
-1867,-4,True
-809,-1,False
515,1,False
-567,-1,False
-1465,-1,False
-168,2,False
-624,-2,False
-723,-2,False
1207,3,True
316,-3,False
243,0,False
1741,3,True
2291,4,True
1821,5,True
1500,1,True
608,-1,True
-3940,-6,False
959,1,True
685,3,False
-1166,-5,True
-705,-3,False
704,-2,True
1465,2,False
-26,1,True
1722,5,False
-788,-3,True
-1421,-2,True
-1045,-3,False
-1349,-2,False
262,1,True
-623,-4,False
1103,2,True
-223,0,True
1775,2,False
